Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Hour_of_day,Is_night,Is_rush_hour,Is_weekend
Saturday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Hospital areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,Moving Backward,19,0,1,1
Wednesday,18-30,Male,Junior high school,Other,No Licence,Long lorry,Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Rollover,2,1,Going straight,Not a Pedestrian,Changing lane to the right,17,0,1,0
Monday,18-30,Male,Elementary school,Unknown,Unknown,Automobile,Unknown,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Parked,Not a Pedestrian,Moving Backward,12,0,0,0
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Not a Pedestrian,No priority to pedestrian,15,0,0,0
Saturday,Unknown,Female,Junior high school,Unknown,5-10yr,Taxi,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,No distancing,12,0,0,1
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,18,0,1,1
Wednesday,Over 51,Male,Junior high school,Owner,Below 1yr,Automobile,Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,2,Moving Backward,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,11,0,0,0
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Not a Pedestrian,Changing lane to the left,16,0,0,0
Wednesday,Unknown,Female,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,22,1,0,0
Wednesday,Over 51,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,16,0,0,0
